view_history,rt,typeoftrial,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,stimulus,response,novel,valence,correct,cue,target,prime,correct_key,age,gender,education,question_order,race,hispanic,dominant_hand,alert_time,english
,547,sentence,html-keyboard-response,40,96820,0.0-1.0-0.0-0.36,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,I heard there was a nuppical horse., ,nuppical,neutral,,,,,,,,,,,,,,
,794,sentence,html-keyboard-response,41,97616,0.0-1.0-0.0-0.37,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,"In every grocery store, there is probably a nuppical apple.", ,nuppical,neutral,,,,,,,,,,,,,,
,628,sentence,html-keyboard-response,42,98245,0.0-1.0-0.0-0.38,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,I was so excited when I got to keep the foobly horse., ,foobly,positive,,,,,,,,,,,,,,
,514,sentence,html-keyboard-response,43,98760,0.0-1.0-0.0-0.39,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,My sister thought she saw a nuppical horse., ,nuppical,neutral,,,,,,,,,,,,,,
,561,sentence,html-keyboard-response,44,99323,0.0-1.0-0.0-0.40,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,The hay was for the nuppical horse., ,nuppical,neutral,,,,,,,,,,,,,,
,615,sentence,html-keyboard-response,45,99939,0.0-1.0-0.0-0.41,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,My brother will not eat a dodish apple., ,dodish,negative,,,,,,,,,,,,,,
,442,sentence,html-keyboard-response,46,100383,0.0-1.0-0.0-0.42,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,He would not eat a dodish apple., ,dodish,negative,,,,,,,,,,,,,,
,593,sentence,html-keyboard-response,47,100978,0.0-1.0-0.0-0.43,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,He would prefer a foobly apple., ,foobly,positive,,,,,,,,,,,,,,
,627,sentence,html-keyboard-response,48,101606,0.0-1.0-0.0-0.44,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,I would love a foobly apple., ,foobly,positive,,,,,,,,,,,,,,
,523,sentence,html-keyboard-response,49,102130,0.0-1.0-0.0-0.45,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,I think foobly apples are the best., ,foobly,positive,,,,,,,,,,,,,,
